,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PRECIPITATIONCAL
20150212,25.57,52.19,1.68,175.19,0.65,0.16,0.56,0.0
20150213,26.09,51.5,1.4,187.25,0.63,0.16,0.52,0.0
20150214,26.43,35.06,1.13,103.06,0.65,0.16,0.71,0.0
20150215,27.4,26.81,0.61,117.06,0.7,0.16,0.91,0.0
20150216,26.58,43.38,1.0,118.94,0.67,0.15,0.64,0.0
20150217,26.65,44.06,1.23,130.69,0.69,0.15,0.68,0.0
20150218,26.27,51.44,2.35,187.0,0.66,0.15,0.47,0.0
20150219,26.81,53.62,2.29,169.75,0.63,0.15,0.33,0.0
20150220,27.19,50.0,1.82,165.38,0.6,0.15,0.68,0.0
20150221,27.48,42.5,1.2,100.81,0.62,0.14,0.44,0.0
20150222,27.6,35.81,1.17,114.94,0.65,0.14,0.52,0.0
20150223,27.07,37.19,1.48,168.88,0.67,0.14,0.48,0.0
20150224,26.83,39.75,1.62,178.31,0.68,0.14,0.51,0.0
20150225,26.66,40.25,1.52,191.38,0.67,0.14,0.48,0.0
20150226,26.55,36.81,2.52,179.25,0.7,0.13,0.51,0.0
20150227,26.23,45.19,2.2,179.06,0.68,0.13,0.42,0.0
20150228,27.15,53.88,3.54,159.44,0.6,0.13,0.19,0.67
20150301,26.89,57.38,4.21,159.44,0.51,0.13,0.71,0.26
20150302,26.68,66.62,2.46,176.38,0.38,0.2,2.86,0.0
20150303,28.37,56.19,1.57,180.0,0.52,0.23,2.04,1.2
20150304,27.23,37.69,1.82,250.44,0.51,0.22,2.66,0.0
20150305,28.24,33.94,1.09,97.5,0.59,0.2,2.43,0.0
20150306,29.4,50.69,1.47,158.81,0.41,0.2,1.39,1.4
20150307,29.63,49.19,1.82,173.94,0.56,0.2,1.34,0.0
20150308,29.25,52.56,2.32,162.25,0.57,0.22,4.86,0.0
20150309,28.1,58.5,1.62,110.12,0.53,0.34,16.73,0.0
20150310,29.06,49.06,0.91,85.19,0.55,0.34,11.21,0.0
20150311,28.69,40.62,1.62,137.31,0.64,0.3,8.51,0.0
20150312,28.57,47.12,1.76,138.62,0.63,0.27,5.61,0.0
20150313,29.08,43.44,1.11,157.12,0.62,0.25,4.94,0.0
20150314,28.68,46.81,2.47,170.25,0.64,0.23,3.46,0.0
20150315,28.59,48.94,3.13,175.56,0.68,0.23,2.93,0.0
20150316,28.72,47.94,2.44,179.5,0.69,0.22,2.55,0.0
20150317,29.48,45.19,1.07,168.0,0.68,0.2,2.59,0.0
20150318,30.56,34.69,1.02,205.0,0.66,0.2,2.37,0.0
20150319,31.54,31.12,1.15,122.19,0.58,0.19,1.98,0.0
20150320,29.99,40.0,1.02,176.25,0.57,0.18,1.06,0.0
20150321,31.28,32.5,0.77,128.75,0.62,0.18,1.56,0.0
20150322,32.42,27.62,0.85,109.44,0.66,0.17,1.62,0.0
20150323,31.87,33.06,1.1,115.12,0.65,0.16,1.41,0.0
20150324,32.34,34.06,1.39,140.44,0.63,0.16,1.33,0.0
20150325,31.51,45.81,2.46,164.81,0.64,0.16,0.82,0.05
20150326,31.17,45.94,2.65,160.69,0.57,0.16,0.7,0.0
20150327,30.88,46.38,2.47,164.12,0.55,0.16,1.66,0.0
20150328,30.74,45.06,2.79,168.12,0.59,0.17,1.73,0.0
20150329,31.42,46.94,2.88,173.69,0.52,0.16,1.03,0.0
20150330,29.93,48.19,2.67,185.31,0.41,0.16,1.08,0.0
20150331,29.04,55.44,2.25,176.06,0.51,0.17,0.57,0.2
20150401,31.46,45.88,2.46,180.31,0.63,0.17,1.13,0.0
20150402,32.08,46.5,2.99,198.94,0.62,0.17,0.91,0.0
20150403,33.3,40.19,1.88,209.19,0.59,0.16,1.18,0.0
20150404,33.63,39.94,1.65,215.12,0.63,0.16,1.2,0.0
20150405,33.58,39.94,1.7,222.94,0.64,0.16,0.94,0.0
20150406,33.05,44.38,3.61,177.56,0.67,0.16,1.3,0.0
20150407,32.46,46.25,4.09,168.56,0.63,0.17,1.77,0.0
20150408,31.07,50.44,2.93,165.06,0.66,0.19,2.49,0.0
20150409,31.6,47.94,3.02,172.62,0.66,0.19,1.85,0.0
20150410,31.85,41.62,2.77,181.88,0.66,0.18,1.7,0.23
20150411,32.01,40.31,1.71,170.06,0.5,0.18,2.57,0.21
20150412,30.58,43.69,1.23,234.19,0.24,0.23,5.59,2.71
20150413,27.87,49.94,1.74,166.12,0.44,0.34,13.65,27.67
20150414,28.83,48.75,2.13,167.38,0.58,0.35,17.92,0.15
20150415,29.05,52.06,2.28,157.06,0.62,0.36,17.57,0.0
20150416,29.56,52.31,1.6,154.75,0.56,0.36,15.28,0.0
20150417,31.4,45.81,1.23,218.56,0.7,0.32,11.45,0.0
20150418,32.49,40.69,1.59,137.69,0.7,0.28,9.22,0.0
20150419,33.05,45.5,2.53,171.12,0.69,0.26,6.12,0.0
20150420,33.18,45.88,2.93,180.12,0.7,0.23,4.62,0.0
20150421,33.44,45.31,2.84,191.81,0.68,0.22,3.56,0.0
20150422,34.51,43.88,2.72,195.56,0.69,0.21,3.3,0.0
20150423,34.28,45.19,2.12,210.5,0.54,0.2,3.78,0.76
20150424,31.5,52.62,3.46,170.69,0.27,0.39,25.25,2.97
20150425,31.63,51.19,3.14,173.81,0.64,0.37,16.46,0.0
20150426,31.26,52.69,3.12,162.56,0.63,0.34,13.28,0.72
20150427,32.12,51.25,2.87,180.5,0.65,0.33,13.01,0.0
20150428,33.32,47.75,3.11,206.31,0.63,0.3,8.62,0.0
20150429,33.51,48.69,3.81,181.44,0.63,0.27,6.77,0.0
20150430,34.15,45.0,2.93,212.94,0.62,0.26,6.71,0.0
20150501,33.98,48.25,2.98,166.38,0.61,0.24,4.67,0.0
20150502,34.74,43.75,3.11,193.88,0.59,0.23,4.75,3.19
20150503,33.41,47.12,3.71,164.25,0.59,0.21,2.68,0.03
20150504,32.56,52.31,3.55,146.0,0.54,0.22,2.51,0.0
20150505,33.01,45.31,2.55,171.75,0.62,0.21,2.81,0.0
20150506,33.83,42.62,2.84,160.88,0.61,0.2,2.46,0.08
20150507,34.26,41.0,2.48,170.88,0.66,0.19,2.56,0.0
20150508,34.8,38.62,2.08,154.88,0.66,0.18,2.17,0.0
20150509,33.51,42.38,2.86,178.81,0.61,0.17,0.98,0.01
20150510,32.99,45.62,2.05,174.25,0.48,0.17,0.68,0.0
20150511,33.53,38.38,3.45,178.06,0.38,0.17,1.08,0.02
20150512,33.8,29.94,2.13,200.62,0.55,0.17,1.5,0.09
20150513,34.55,38.88,3.02,179.0,0.52,0.16,1.22,0.05
20150514,33.51,38.69,2.33,153.38,0.57,0.16,0.68,0.0
20150515,32.9,47.81,2.83,161.81,0.57,0.19,2.5,0.01
20150516,32.36,51.88,2.15,158.0,0.53,0.25,5.77,2.51
20150517,33.16,48.44,2.8,127.31,0.64,0.25,5.84,0.0
20150518,34.9,43.62,2.48,171.5,0.66,0.23,4.93,0.0
20150519,37.38,36.88,2.84,220.56,0.66,0.21,4.09,0.0
20150520,38.52,28.75,3.22,195.69,0.65,0.2,3.87,0.0
20150521,38.51,31.38,1.67,235.12,0.66,0.19,2.98,0.0
20150522,39.51,24.44,2.38,231.19,0.66,0.17,2.54,0.0
20150523,38.73,23.75,3.73,286.12,0.69,0.16,1.76,0.0
20150524,38.32,22.5,4.13,307.81,0.7,0.16,1.83,0.0
20150525,37.69,22.25,3.3,309.12,0.65,0.16,1.16,0.0
20150526,38.6,22.5,3.3,287.88,0.62,0.15,1.2,0.0
20150527,36.14,40.25,3.7,103.56,0.62,0.15,0.56,0.07
20150528,35.37,40.75,2.47,186.94,0.6,0.15,0.58,0.0
20150529,36.28,36.56,3.05,179.38,0.65,0.14,0.6,0.0
20150530,34.85,43.38,2.8,217.81,0.62,0.14,0.27,0.0
20150531,33.81,49.56,4.03,177.88,0.58,0.14,0.37,0.0
20150601,31.47,57.88,3.19,161.62,0.15,0.23,3.55,2.16
20150602,31.44,54.31,2.65,158.38,0.57,0.36,14.89,0.0
20150603,31.64,56.44,2.29,146.5,0.55,0.36,13.17,0.0
20150604,30.91,61.06,2.29,171.44,0.53,0.41,15.13,0.71
20150605,28.48,75.62,1.7,179.75,0.46,0.55,23.37,3.55
20150606,28.85,72.81,2.54,192.44,0.16,0.49,19.28,3.65
20150607,29.05,70.38,2.72,208.94,0.3,0.48,19.28,0.46
20150608,28.73,72.06,2.38,223.69,0.34,0.47,19.01,6.25
20150609,28.89,68.31,2.32,244.0,0.19,0.46,16.6,6.58
20150610,32.51,52.0,2.54,264.62,0.61,0.42,23.05,0.0
20150611,31.46,59.69,2.05,287.75,0.58,0.41,15.09,10.87
20150612,30.18,67.5,1.71,255.75,0.34,0.49,24.32,0.0
20150613,29.05,71.56,2.73,214.19,0.48,0.55,34.08,16.02
20150614,27.45,80.44,2.2,254.94,0.34,0.63,25.47,16.39
20150615,27.94,75.94,2.35,290.25,0.31,0.55,27.7,8.73
20150616,27.76,73.56,3.35,281.69,0.23,0.52,23.31,24.58
20150617,27.4,76.88,3.52,295.56,0.25,0.53,20.35,14.79
20150618,27.42,74.25,4.33,281.94,0.28,0.58,26.94,28.91
20150619,26.88,77.75,4.83,290.44,0.27,0.68,29.83,9.78
20150620,25.39,83.38,5.77,251.75,0.08,0.78,44.77,27.05
20150621,26.44,79.62,6.16,252.5,0.22,0.74,40.16,8.78
20150622,27.28,71.31,4.98,247.12,0.32,0.64,44.59,0.66
20150623,28.87,70.19,3.8,244.5,0.41,0.6,48.76,0.08
20150624,30.0,67.12,4.36,245.88,0.41,0.58,52.21,0.0
20150625,30.75,61.75,4.57,252.38,0.41,0.55,53.76,0.0
20150626,30.51,63.75,4.05,276.81,0.48,0.55,49.87,0.17
20150627,30.4,63.19,4.05,301.12,0.43,0.54,49.76,0.02
20150628,30.28,66.31,2.44,242.69,0.38,0.55,33.54,0.0
20150629,30.26,67.06,1.72,233.62,0.55,0.53,34.55,2.8
20150630,30.51,65.5,2.2,219.5,0.55,0.53,39.72,0.84
20150701,29.66,69.31,2.05,230.31,0.52,0.54,35.19,0.03
20150702,29.58,70.56,1.81,295.88,0.42,0.57,41.2,5.36
20150703,29.23,69.06,1.9,262.0,0.45,0.56,28.13,0.0
20150704,30.44,61.38,3.11,303.19,0.57,0.52,40.56,0.0
20150705,30.87,58.88,3.94,316.81,0.56,0.5,43.66,0.0
20150706,31.3,53.25,4.26,305.25,0.58,0.49,42.7,0.0
20150707,31.2,52.62,3.81,295.06,0.56,0.48,41.0,1.35
20150708,31.01,59.12,3.22,280.75,0.49,0.48,32.26,0.03
20150709,30.89,57.44,4.18,302.12,0.4,0.48,30.49,1.47
20150710,30.3,60.94,3.29,288.0,0.36,0.48,25.84,0.02
20150711,31.25,58.38,2.99,272.62,0.5,0.49,35.3,0.0
20150712,30.44,62.75,2.75,215.88,0.58,0.48,30.53,0.0
20150713,29.96,67.88,1.7,266.38,0.55,0.48,21.87,14.22
20150714,29.21,73.31,1.84,296.25,0.48,0.59,27.31,5.61
20150715,27.73,81.25,2.63,281.94,0.45,0.62,24.53,43.56
20150716,28.9,70.06,2.48,253.69,0.49,0.55,28.15,0.27
20150717,30.71,60.69,3.09,266.06,0.54,0.51,42.12,0.08
20150718,30.26,65.31,3.17,235.62,0.48,0.51,39.0,0.0
20150719,29.06,71.94,2.51,269.44,0.38,0.55,32.6,1.36
20150720,30.11,61.94,3.61,286.88,0.48,0.51,43.17,0.54
20150721,28.95,69.88,2.57,252.12,0.49,0.55,37.48,2.16
20150722,28.18,76.44,2.82,235.0,0.19,0.62,38.48,19.53
20150723,28.18,75.38,2.76,223.62,0.42,0.61,38.51,6.06
20150724,28.58,75.06,2.42,231.69,0.58,0.59,39.05,0.0
20150725,29.06,65.56,2.85,243.19,0.55,0.54,39.0,6.78
20150726,28.03,71.31,2.76,241.56,0.45,0.58,39.09,3.57
20150727,28.98,66.56,2.33,268.75,0.52,0.52,32.83,0.3
20150728,30.48,56.69,3.14,264.75,0.63,0.51,47.52,0.0
20150729,30.5,58.06,2.78,289.56,0.59,0.49,37.4,0.47
20150730,30.65,59.19,2.91,297.06,0.56,0.5,41.3,4.22
20150731,28.98,67.62,2.76,265.56,0.52,0.55,33.81,18.07
20150801,29.18,66.88,2.41,261.06,0.43,0.53,29.14,0.54
20150802,28.35,74.31,1.6,281.56,0.5,0.6,29.56,0.29
20150803,28.98,70.75,2.24,303.75,0.49,0.59,45.4,9.84
20150804,28.87,68.38,2.61,284.25,0.41,0.56,44.05,0.97
20150805,28.72,64.94,2.91,273.31,0.47,0.52,39.69,0.67
20150806,28.54,66.94,2.62,305.94,0.52,0.52,42.81,0.0
20150807,29.45,67.62,2.03,282.94,0.41,0.52,34.26,1.04
20150808,28.83,74.94,1.54,257.5,0.28,0.53,30.29,4.26
20150809,29.15,72.94,2.38,298.25,0.38,0.54,35.17,28.22
20150810,29.12,76.12,1.72,306.12,0.44,0.62,42.57,2.17
20150811,27.57,85.62,2.67,295.56,0.37,0.6,22.42,19.92
20150812,26.25,84.94,3.32,278.94,0.23,0.66,29.13,49.27
20150813,26.75,79.56,3.29,281.56,0.33,0.6,32.85,0.18
20150814,29.48,67.62,2.09,266.19,0.43,0.55,48.75,0.05
20150815,29.61,71.69,1.45,226.06,0.45,0.56,40.96,3.21
20150816,28.02,79.5,1.09,258.06,0.12,0.59,26.54,10.99
20150817,27.41,78.75,1.7,211.88,0.52,0.57,26.24,2.12
20150818,27.9,77.69,2.3,189.62,0.53,0.55,29.82,0.0
20150819,28.15,79.12,2.31,174.12,0.54,0.55,37.56,0.0
20150820,27.98,76.56,1.2,196.12,0.52,0.55,30.86,2.7
20150821,27.95,77.12,1.97,270.75,0.45,0.58,32.32,17.16
20150822,27.33,76.62,2.27,304.62,0.4,0.58,30.89,0.05
20150823,28.7,69.69,2.12,320.69,0.53,0.53,39.88,0.0
20150824,28.68,69.31,2.18,327.56,0.55,0.52,34.11,0.0
20150825,29.18,66.94,2.72,332.69,0.6,0.5,39.99,0.0
20150826,28.96,69.38,1.8,324.94,0.45,0.5,28.12,1.86
20150827,28.4,72.19,2.07,286.38,0.25,0.51,27.73,0.64
20150828,27.46,80.06,2.24,291.81,0.33,0.55,28.94,8.29
20150829,28.45,74.81,3.01,295.69,0.42,0.55,45.44,2.16
20150830,29.07,73.88,2.09,301.62,0.37,0.53,37.39,7.79
20150831,28.25,77.44,1.87,309.38,0.54,0.53,24.5,1.47
20150901,29.15,69.38,1.95,259.75,0.4,0.52,37.24,2.33
20150902,29.65,67.69,1.09,199.62,0.55,0.54,43.16,16.45
20150903,29.03,71.75,1.21,150.56,0.51,0.58,44.7,0.23
20150904,27.9,78.44,1.51,164.12,0.54,0.55,25.97,0.05
20150905,28.03,75.88,1.22,211.12,0.54,0.52,24.0,0.07
20150906,28.21,76.0,2.09,219.25,0.45,0.56,36.02,10.4
20150907,27.24,79.0,1.75,225.31,0.44,0.59,31.14,13.02
20150908,27.34,76.62,1.52,193.44,0.43,0.59,38.26,0.0
20150909,27.9,75.62,0.88,183.88,0.45,0.56,35.86,0.19
20150910,27.7,77.25,0.83,168.44,0.52,0.6,34.22,7.11
20150911,27.48,77.31,1.41,149.94,0.57,0.6,39.47,26.87
20150912,27.08,78.94,1.87,282.75,0.37,0.63,43.58,28.2
20150913,26.29,82.81,2.16,296.62,0.3,0.6,30.84,27.14
20150914,26.26,84.88,2.44,286.0,0.4,0.59,26.19,1.01
20150915,26.83,81.56,2.04,300.0,0.41,0.59,27.64,1.19
20150916,26.58,84.31,2.87,297.38,0.41,0.61,25.94,15.0
20150917,27.59,82.0,2.84,260.5,0.29,0.66,46.02,2.5
20150918,28.15,79.12,1.8,199.5,0.46,0.58,38.57,0.25
20150919,27.53,80.62,1.14,247.75,0.27,0.61,32.72,5.53
20150920,26.55,84.12,1.17,253.56,0.16,0.59,25.24,2.69
20150921,28.0,76.06,1.26,222.88,0.48,0.56,42.12,0.67
20150922,29.07,67.0,1.41,214.69,0.57,0.54,47.78,0.0
20150923,29.2,68.0,0.96,183.25,0.55,0.53,40.45,0.0
20150924,28.69,71.69,1.09,159.88,0.58,0.52,33.75,0.03
20150925,28.3,78.19,0.75,176.0,0.54,0.54,27.42,0.13
20150926,27.83,78.88,0.98,251.69,0.45,0.55,23.56,10.75
20150927,27.04,67.31,2.25,164.06,0.65,0.52,42.5,0.0
20150928,26.84,70.06,1.85,140.81,0.5,0.51,31.64,0.47
20150929,27.76,73.81,1.52,111.38,0.55,0.51,38.01,1.07
20150930,26.87,81.38,1.41,127.12,0.47,0.54,30.63,2.71
20151001,26.55,83.0,2.02,162.75,0.45,0.57,32.05,1.77
20151002,27.19,79.06,1.16,136.75,0.47,0.55,32.28,5.32
20151003,28.73,73.38,1.04,184.12,0.53,0.53,40.13,2.89
20151004,28.21,77.38,0.88,253.25,0.44,0.57,31.0,2.03
20151005,28.03,76.69,1.34,135.56,0.52,0.55,29.75,1.04
20151006,27.48,65.19,1.83,33.44,0.62,0.52,35.26,0.0
20151007,27.4,61.81,1.21,148.25,0.55,0.5,38.43,0.0
20151008,27.81,63.81,0.99,175.5,0.55,0.49,32.96,0.0
20151009,28.65,63.94,1.38,173.38,0.58,0.48,34.83,0.03
20151010,29.6,61.06,0.83,129.62,0.59,0.48,32.18,0.0
20151011,29.73,57.81,1.13,152.0,0.61,0.47,34.54,0.0
20151012,29.47,54.56,1.09,126.12,0.64,0.46,33.28,0.0
20151013,29.07,52.0,1.19,134.69,0.63,0.45,31.54,0.0
20151014,29.12,55.25,1.37,139.88,0.64,0.45,29.45,0.0
20151015,28.8,62.81,1.52,142.44,0.55,0.45,26.59,0.0
20151016,28.3,69.38,1.49,133.19,0.47,0.45,22.59,1.67
20151017,28.04,69.56,1.6,127.12,0.52,0.45,20.21,0.0
20151018,28.4,68.31,1.34,115.38,0.53,0.45,23.71,0.1
20151019,28.02,62.75,1.46,72.12,0.62,0.45,23.17,0.0
20151020,27.75,56.44,1.51,101.56,0.63,0.44,21.96,0.0
20151021,27.83,60.31,1.59,121.0,0.61,0.43,20.8,0.0
20151022,28.0,62.38,1.65,124.0,0.62,0.43,19.58,0.0
20151023,27.93,62.25,1.44,123.44,0.61,0.42,18.94,0.0
20151024,28.07,61.31,1.72,108.81,0.55,0.42,16.75,0.0
20151025,27.33,65.88,1.78,115.19,0.51,0.42,14.18,0.03
20151026,27.13,63.88,1.91,91.06,0.59,0.41,15.19,0.0
20151027,26.4,60.31,1.79,83.5,0.64,0.41,15.32,0.0
20151028,26.3,64.12,1.65,107.31,0.59,0.45,23.4,0.03
20151029,27.27,70.62,2.24,125.94,0.62,0.43,12.96,0.1
20151030,27.65,69.06,1.88,69.81,0.59,0.41,13.69,0.0
20151031,26.9,71.06,3.02,58.44,0.54,0.41,12.27,0.0
20151101,27.68,68.56,1.79,69.62,0.55,0.41,14.19,0.0
20151102,28.21,65.44,0.8,114.25,0.58,0.4,12.31,0.0
20151103,28.18,63.69,1.75,65.31,0.51,0.39,13.43,0.4
20151104,27.69,63.5,1.62,83.56,0.58,0.39,12.97,0.0
20151105,27.46,62.62,1.84,90.81,0.58,0.38,12.0,0.0
20151106,26.73,57.5,1.95,68.19,0.63,0.37,11.48,0.0
20151107,26.51,59.69,1.71,90.06,0.62,0.37,9.97,0.0
20151108,26.65,60.12,2.34,80.12,0.65,0.36,9.91,0.08
20151109,25.58,63.75,2.64,64.94,0.38,0.36,10.2,0.06
20151110,25.29,68.31,2.81,58.19,0.42,0.38,9.57,0.07
20151111,26.41,60.69,2.45,63.88,0.6,0.36,8.92,0.0
20151112,25.94,58.88,2.18,54.69,0.66,0.35,9.12,0.0
20151113,24.8,58.06,2.16,55.38,0.66,0.34,8.12,0.03
20151114,25.47,59.12,1.84,66.81,0.6,0.34,7.23,0.04
20151115,26.09,56.06,1.98,73.06,0.59,0.33,6.76,0.13
20151116,25.19,60.5,2.03,73.06,0.16,0.33,9.38,15.16
20151117,24.08,75.81,2.6,53.81,0.23,0.48,22.13,4.82
20151118,25.73,72.44,3.27,53.31,0.62,0.45,17.51,0.06
20151119,25.56,72.31,3.06,66.75,0.41,0.42,13.96,0.0
20151120,25.51,73.56,2.38,89.75,0.38,0.42,15.69,0.0
20151121,26.37,67.75,1.91,105.38,0.53,0.41,12.47,0.0
20151122,25.94,66.0,1.87,114.12,0.6,0.39,9.61,0.0
20151123,25.88,67.38,1.91,132.69,0.62,0.38,9.26,0.0
20151124,25.99,68.25,1.84,122.25,0.52,0.37,7.93,0.0
20151125,25.11,69.31,1.44,117.62,0.55,0.36,6.02,0.0
20151126,25.02,64.94,1.29,136.06,0.62,0.35,7.4,0.0
20151127,25.38,66.0,1.88,158.44,0.63,0.34,6.45,0.0
20151128,25.32,69.19,2.34,144.81,0.62,0.33,5.0,0.0
20151129,24.73,67.19,2.12,119.62,0.53,0.33,4.4,0.2
20151130,25.46,62.94,1.52,111.31,0.28,0.32,6.07,0.0
20151201,26.15,66.81,2.06,126.56,0.46,0.32,6.59,0.22
20151202,25.26,69.62,1.86,133.94,0.34,0.31,3.6,0.39
20151203,26.25,58.0,1.75,124.31,0.62,0.3,6.13,0.0
20151204,25.89,61.75,1.81,110.19,0.61,0.3,4.88,0.0
20151205,25.43,62.88,1.84,118.94,0.58,0.29,4.1,0.0
20151206,24.69,63.06,1.67,110.94,0.56,0.28,3.53,0.0
20151207,24.37,61.19,1.65,89.12,0.62,0.27,3.59,0.0
20151208,23.82,56.38,1.39,87.94,0.62,0.27,3.48,0.0
20151209,23.61,56.31,1.38,109.94,0.62,0.27,3.47,0.0
20151210,23.85,56.94,1.44,136.19,0.66,0.26,3.13,0.0
20151211,25.08,64.44,2.05,179.44,0.59,0.25,2.16,0.0
20151212,27.35,64.19,1.91,175.88,0.54,0.24,2.18,0.0
20151213,27.05,63.44,2.53,169.69,0.55,0.24,1.81,0.0
20151214,26.13,56.62,2.13,163.56,0.58,0.23,2.02,0.0
20151215,26.29,55.44,1.84,164.38,0.59,0.23,1.82,0.0
20151216,26.31,59.69,2.14,159.62,0.62,0.23,1.59,0.0
20151217,25.69,62.06,2.88,172.19,0.65,0.23,1.67,0.0
20151218,25.47,60.69,1.96,177.75,0.66,0.22,1.38,0.0
20151219,26.28,59.94,1.42,169.81,0.6,0.22,1.32,0.0
20151220,26.02,60.12,2.4,162.62,0.56,0.21,1.12,0.0
20151221,25.98,60.19,2.93,176.06,0.54,0.21,0.83,0.0
20151222,26.29,60.19,2.72,172.88,0.54,0.21,0.79,0.0
20151223,26.08,63.0,2.2,176.19,0.55,0.2,0.68,0.0
20151224,25.64,51.5,1.9,235.06,0.57,0.2,1.09,0.0
20151225,22.29,28.25,2.84,123.5,0.55,0.2,1.29,0.0
20151226,21.54,39.62,1.9,15.06,0.59,0.2,1.15,0.0
20151227,21.4,38.19,1.7,55.69,0.62,0.2,0.98,0.0
20151228,23.01,42.88,1.52,77.88,0.66,0.19,1.04,0.0
20151229,24.25,38.0,1.2,121.0,0.68,0.19,0.97,0.0
20151230,24.05,45.88,1.44,105.88,0.69,0.18,0.89,0.0
20151231,23.84,57.0,1.53,104.81,0.65,0.18,0.67,0.0
20160101,24.26,57.06,1.45,124.81,0.65,0.18,0.59,0.0
20160102,24.05,56.75,1.24,155.31,0.59,0.18,0.57,0.0
20160103,24.11,57.31,1.27,193.12,0.6,0.17,0.49,0.0
20160104,23.8,53.56,1.0,115.62,0.54,0.17,0.42,0.0
20160105,23.83,58.19,1.2,122.44,0.59,0.17,0.41,0.0
20160106,24.01,57.25,1.2,129.38,0.62,0.17,0.51,0.0
20160107,23.42,57.0,1.55,136.94,0.62,0.17,0.47,0.0
20160108,23.77,52.25,0.98,119.75,0.6,0.16,0.46,0.0
20160109,24.3,39.75,0.98,126.44,0.61,0.16,0.63,0.0
20160110,24.2,45.69,0.93,154.38,0.62,0.16,0.45,0.0
20160111,24.76,32.62,0.95,119.0,0.64,0.16,0.59,0.0
20160112,23.93,36.94,0.92,101.12,0.63,0.16,0.49,0.0
20160113,23.38,46.62,1.16,123.69,0.59,0.16,0.35,0.0
20160114,23.68,57.69,1.53,138.06,0.59,0.16,0.26,0.0
20160115,24.03,57.56,1.88,154.44,0.59,0.16,0.22,0.0
20160116,23.83,53.5,1.79,173.25,0.59,0.16,0.25,0.0
20160117,23.83,54.56,2.74,161.12,0.6,0.16,0.26,0.0
20160118,24.23,56.88,2.88,163.94,0.62,0.16,0.25,0.0
20160119,24.8,62.94,2.54,208.19,0.4,0.16,2.87,0.63
20160120,25.2,59.12,1.05,159.69,0.26,0.2,2.79,0.0
